week,Average Close Price
2014 week 14,457.0770210733333
2014 week 15,423.99182600428577
2014 week 16,497.3885584728572
2014 week 17,475.64968501428575
2014 week 18,445.87786023285713
2014 week 19,439.21332257714283
2014 week 20,443.8053367414285
2014 week 21,509.38703157714286
2014 week 22,597.2824351457142
2014 week 23,657.0013486057143
2014 week 24,611.4554734457142
2014 week 25,599.9695101014286
2014 week 26,588.6766848628571
2014 week 27,638.9892028885714
2014 week 28,627.0934971085715
2014 week 29,623.5647679871429
2014 week 30,608.0806553614285
2014 week 31,584.964241062857
2014 week 32,588.5394560457142
2014 week 33,530.3894106328571
2014 week 34,501.64177980571424
2014 week 35,503.88853116
2014 week 36,482.6808631028571
2014 week 37,477.7404003085714
2014 week 38,432.20243129285706
2014 week 39,408.22575512142856
2014 week 40,361.2567778185715
2014 week 41,354.5378665
2014 week 42,389.3222021114285
2014 week 43,365.9057932057143
2014 week 44,338.9428443871428
2014 week 45,341.86779674285714
2014 week 46,392.31789269285713
2014 week 47,367.32566867142856
2014 week 48,375.0789388657143
2014 week 49,377.60839466000004
2014 week 50,352.2278556914286
2014 week 51,325.1978331257142
2014 week 52,324.7868088614286
2015 week 1,303.5818860128572
2015 week 10,276.2305842571428
2015 week 11,290.0847502642858
2015 week 12,269.6817590242857
2015 week 13,250.36872783714287
2015 week 14,252.16773399
2015 week 15,244.36388576142858
2015 week 16,224.10795557571427
2015 week 17,230.19490543999999
2015 week 18,232.81957334428571
2015 week 19,238.94407094000002
2015 week 2,281.64215059
2015 week 20,238.91977732285713
2015 week 21,237.3721581885714
2015 week 22,236.4649230171428
2015 week 23,225.53325071142854
2015 week 24,231.27939117571432
2015 week 25,246.4533824842857
2015 week 26,246.61790557999998
2015 week 27,261.19552007
2015 week 28,280.94053525428575
2015 week 29,281.9719666014286
2015 week 3,214.2847765385714
2015 week 30,283.3595388857143
2015 week 31,288.3260279442857
2015 week 32,276.7820552585714
2015 week 33,264.7821528228571
2015 week 34,231.56838357571428
2015 week 35,225.0298179785714
2015 week 36,232.37443926857142
2015 week 37,238.98709733
2015 week 38,232.2835222814286
2015 week 39,233.28345440285713
2015 week 4,231.7905144742857
2015 week 40,239.04283924714287
2015 week 41,245.83496123
2015 week 42,259.05742840428576
2015 week 43,275.9700528071428
2015 week 44,311.5196782928571
2015 week 45,384.98535807
2015 week 46,337.4122005957143
2015 week 47,329.32491033714285
2015 week 48,345.2841300571428
2015 week 49,372.19838541285714
2015 week 5,239.71470649142856
2015 week 50,424.10815055142854
2015 week 51,455.6725948328571
2015 week 52,438.24743871857146
2015 week 53,430.47697113571434
2015 week 6,226.5323355557143
2015 week 7,230.4394781657143
2015 week 8,240.50587910714285
2015 week 9,246.5120081485714
2016 week 1,444.49556333428563
2016 week 10,415.2464195371428
2016 week 11,415.60570397142857
2016 week 12,418.81064901999997
2016 week 13,418.7244609171429
2016 week 14,421.67841935285713
2016 week 15,427.6623745314286
2016 week 16,445.7712595285715
2016 week 17,454.734887422857
2016 week 18,453.66845897571426
2016 week 19,458.0765103571429
2016 week 2,412.0934770285714
2016 week 20,448.4302743728571
2016 week 21,475.53692999428574
2016 week 22,551.8481648100001
2016 week 23,598.0532774042857
2016 week 24,731.3756178785713
2016 week 25,653.4732955385715
2016 week 26,663.93018558
2016 week 27,661.3596981157143
2016 week 28,660.5286029242858
2016 week 29,668.7085763828571
2016 week 3,396.1509063971429
2016 week 30,653.21324554
2016 week 31,578.4981540699999
2016 week 32,588.3168493442857
2016 week 33,577.6791697114286
2016 week 34,581.6912158542857
2016 week 35,584.7987845557143
2016 week 36,615.9120095414286
2016 week 37,608.7371740628571
2016 week 38,602.4238183257143
2016 week 39,607.7772661585715
2016 week 4,384.5484931971428
2016 week 40,613.2450494542857
2016 week 41,635.5955615042858
2016 week 42,639.7638711328572
2016 week 43,682.0707583342858
2016 week 44,710.4625996871429
2016 week 45,710.8731596457143
2016 week 46,733.5625041757145
2016 week 47,740.6130693814285
2016 week 48,754.65693321
2016 week 49,765.5008721357143
2016 week 5,378.68292806142864
2016 week 50,779.17161754
2016 week 51,851.5208720985714
2016 week 52,950.6771338871429
2016 week 6,385.63940664428577
2016 week 7,421.10261833285716
2016 week 8,428.99758294571427
2016 week 9,419.03378824285716
2017 week 1,979.7773600185716
2017 week 10,1195.2809716814284
2017 week 11,1141.0760809442859
2017 week 12,1018.9755585757142
2017 week 13,1062.9897402728573
2017 week 14,1170.6120975928573
2017 week 15,1198.8167800114284
2017 week 16,1244.5167372528572
2017 week 17,1320.4499137814284
2017 week 18,1507.9768619599997
2017 week 19,1742.39578495
2017 week 2,832.361450432857
2017 week 20,1884.0272645700002
2017 week 21,2210.5099041914286
2017 week 22,2376.349198614286
2017 week 23,2812.2802638185713
2017 week 24,2559.615190552857
2017 week 25,2652.6938742800003
2017 week 26,2501.817756081429
2017 week 27,2565.1607882514286
2017 week 28,2226.022502277143
2017 week 29,2555.840680174286
2017 week 3,887.5047314585715
2017 week 30,2693.69456683
2017 week 31,2945.963263452857
2017 week 32,3598.2002058171424
2017 week 33,4214.835454767142
2017 week 34,4219.110625512857
